# Copyright (C) 1991-2008 Altera Corporation
# Your use of Altera Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Altera Program License 
# Subscription Agreement, Altera MegaCore Function License 
# Agreement, or other applicable license agreement, including, 
# without limitation, that your use is for the sole purpose of 
# programming logic devices manufactured by Altera and sold by 
# Altera or its authorized distributors.  Please refer to the 
# applicable agreement for further details.

# Quartus II Version 8.1 Build 163 10/28/2008 SJ Web Edition
# File: H:\home\kmcisaac\Courses\ECE 489b\Lab Projects\Quartus Project Files\toy489 basic\cpu_top_hw.csv
# Generated on: Sun Oct 16 20:06:53 2011

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus II software.

To,Direction,Location,I/O Bank,VREF Group,Reserved,Group,PCB layer
ALU_OP2,Unknown,PIN_129,,,,,
ALU_OP[2],Unknown,PIN_129,,,,,
ALU_OP1,Unknown,PIN_128,,,,,
ALU_OP[1],Unknown,PIN_128,,,,,
ALU_OP0,Unknown,PIN_127,,,,,
ALU_OP[0],Unknown,PIN_127,,,,,
WR,Unknown,PIN_133,,,,,
USER2,Unknown,PIN_141,,,,,
USER[2],Unknown,PIN_141,,,,,
USER1,Unknown,PIN_139,,,,,
USER[1],Unknown,PIN_139,,,,,
USER0,Unknown,PIN_138,,,,,
USER[0],Unknown,PIN_138,,,,,
SEL_D2,Unknown,PIN_120,,,,,
SEL_D[2],Unknown,PIN_120,,,,,
SEL_D1,Unknown,PIN_119,,,,,
SEL_D[1],Unknown,PIN_119,,,,,
SEL_D0,Unknown,PIN_118,,,,,
SEL_D[0],Unknown,PIN_118,,,,,
SEL_B2,Unknown,PIN_116,,,,,
SEL_B[2],Unknown,PIN_116,,,,,
SEL_B1,Unknown,PIN_115,,,,,
SEL_B[1],Unknown,PIN_115,,,,,
SEL_B0,Unknown,PIN_114,,,,,
SEL_B[0],Unknown,PIN_114,,,,,
SEL_A2,Unknown,PIN_111,,,,,
SEL_A[2],Unknown,PIN_111,,,,,
SEL_A1,Unknown,PIN_110,,,,,
SEL_A[1],Unknown,PIN_110,,,,,
SEL_A0,Unknown,PIN_109,,,,,
SEL_A[0],Unknown,PIN_109,,,,,
RD,Unknown,PIN_132,,,,,
PC15,Unknown,PIN_196,,,,,
PC[15],Unknown,PIN_196,,,,,
PC14,Unknown,PIN_195,,,,,
PC[14],Unknown,PIN_195,,,,,
PC13,Unknown,PIN_194,,,,,
PC[13],Unknown,PIN_194,,,,,
PC12,Unknown,PIN_193,,,,,
PC[12],Unknown,PIN_193,,,,,
PC11,Unknown,PIN_192,,,,,
PC[11],Unknown,PIN_192,,,,,
PC10,Unknown,PIN_191,,,,,
PC[10],Unknown,PIN_191,,,,,
PC9,Unknown,PIN_190,,,,,
PC[9],Unknown,PIN_190,,,,,
PC8,Unknown,PIN_188,,,,,
PC[8],Unknown,PIN_188,,,,,
PC7,Unknown,PIN_187,,,,,
PC[7],Unknown,PIN_187,,,,,
PC6,Unknown,PIN_186,,,,,
PC[6],Unknown,PIN_186,,,,,
PC5,Unknown,PIN_185,,,,,
PC[5],Unknown,PIN_185,,,,,
PC4,Unknown,PIN_184,,,,,
PC[4],Unknown,PIN_184,,,,,
PC3,Unknown,PIN_183,,,,,
PC[3],Unknown,PIN_183,,,,,
PC2,Unknown,PIN_182,,,,,
PC[2],Unknown,PIN_182,,,,,
PC1,Unknown,PIN_181,,,,,
PC[1],Unknown,PIN_181,,,,,
PC0,Unknown,PIN_175,,,,,
PC[0],Unknown,PIN_175,,,,,
OE_PC,Unknown,PIN_134,,,,,
OEB,Unknown,PIN_117,,,,,
OEA,Unknown,PIN_113,,,,,
LOAD_PC,Unknown,PIN_136,,,,,
LOAD_MAR,Unknown,PIN_131,,,,,
LOAD_IR,Unknown,PIN_137,,,,,
LOAD_D,Unknown,PIN_126,,,,,
IR15,Unknown,PIN_220,,,,,
IR[15],Unknown,PIN_220,,,,,
IR14,Unknown,PIN_219,,,,,
IR[14],Unknown,PIN_219,,,,,
IR13,Unknown,PIN_218,,,,,
IR[13],Unknown,PIN_218,,,,,
IR12,Unknown,PIN_217,,,,,
IR[12],Unknown,PIN_217,,,,,
IR11,Unknown,PIN_215,,,,,
IR[11],Unknown,PIN_215,,,,,
IR10,Unknown,PIN_214,,,,,
IR[10],Unknown,PIN_214,,,,,
IR9,Unknown,PIN_208,,,,,
IR[9],Unknown,PIN_208,,,,,
IR8,Unknown,PIN_207,,,,,
IR[8],Unknown,PIN_207,,,,,
IR7,Unknown,PIN_206,,,,,
IR[7],Unknown,PIN_206,,,,,
IR6,Unknown,PIN_204,,,,,
IR[6],Unknown,PIN_204,,,,,
IR5,Unknown,PIN_203,,,,,
IR[5],Unknown,PIN_203,,,,,
IR4,Unknown,PIN_202,,,,,
IR[4],Unknown,PIN_202,,,,,
IR3,Unknown,PIN_201,,,,,
IR[3],Unknown,PIN_201,,,,,
IR2,Unknown,PIN_200,,,,,
IR[2],Unknown,PIN_200,,,,,
IR1,Unknown,PIN_199,,,,,
IR[1],Unknown,PIN_199,,,,,
IR0,Unknown,PIN_198,,,,,
IR[0],Unknown,PIN_198,,,,,
D15,Unknown,PIN_75,,,,,
D[15],Unknown,PIN_75,,,,,
D14,Unknown,PIN_74,,,,,
D[14],Unknown,PIN_74,,,,,
D13,Unknown,PIN_73,,,,,
D[13],Unknown,PIN_73,,,,,
D12,Unknown,PIN_72,,,,,
D[12],Unknown,PIN_72,,,,,
D11,Unknown,PIN_71,,,,,
D[11],Unknown,PIN_71,,,,,
D10,Unknown,PIN_70,,,,,
D[10],Unknown,PIN_70,,,,,
D9,Unknown,PIN_68,,,,,
D[9],Unknown,PIN_68,,,,,
D8,Unknown,PIN_67,,,,,
D[8],Unknown,PIN_67,,,,,
D7,Unknown,PIN_84,,,,,
D[7],Unknown,PIN_84,,,,,
D6,Unknown,PIN_83,,,,,
D[6],Unknown,PIN_83,,,,,
D5,Unknown,PIN_82,,,,,
D[5],Unknown,PIN_82,,,,,
D4,Unknown,PIN_81,,,,,
D[4],Unknown,PIN_81,,,,,
D3,Unknown,PIN_80,,,,,
D[3],Unknown,PIN_80,,,,,
D2,Unknown,PIN_79,,,,,
D[2],Unknown,PIN_79,,,,,
D1,Unknown,PIN_78,,,,,
D[1],Unknown,PIN_78,,,,,
D0,Unknown,PIN_76,,,,,
D[0],Unknown,PIN_76,,,,,
FREERUN,Unknown,PIN_41,,,,,
RESET,Unknown,PIN_29,,,,,
ONE_SHOT,Unknown,PIN_28,,,,,
AWRH,Unknown,PIN_88,,,,,
AWRL,Unknown,PIN_87,,,,,
ARD,Unknown,PIN_86,,,,,
A15,Unknown,PIN_66,,,,,
A[15],Unknown,PIN_66,,,,,
A14,Unknown,PIN_65,,,,,
A[14],Unknown,PIN_65,,,,,
A13,Unknown,PIN_64,,,,,
A[13],Unknown,PIN_64,,,,,
A12,Unknown,PIN_63,,,,,
A[12],Unknown,PIN_63,,,,,
A11,Unknown,PIN_62,,,,,
A[11],Unknown,PIN_62,,,,,
A10,Unknown,PIN_61,,,,,
A[10],Unknown,PIN_61,,,,,
A9,Unknown,PIN_56,,,,,
A[9],Unknown,PIN_56,,,,,
A8,Unknown,PIN_55,,,,,
A[8],Unknown,PIN_55,,,,,
A7,Unknown,PIN_54,,,,,
A[7],Unknown,PIN_54,,,,,
A6,Unknown,PIN_53,,,,,
A[6],Unknown,PIN_53,,,,,
A5,Unknown,PIN_51,,,,,
A[5],Unknown,PIN_51,,,,,
A4,Unknown,PIN_50,,,,,
A[4],Unknown,PIN_50,,,,,
A3,Unknown,PIN_49,,,,,
A[3],Unknown,PIN_49,,,,,
A2,Unknown,PIN_48,,,,,
A[2],Unknown,PIN_48,,,,,
A1,Unknown,PIN_46,,,,,
A[1],Unknown,PIN_46,,,,,
A0,Unknown,PIN_45,,,,,
A[0],Unknown,PIN_45,,,,,
FCLK,Unknown,PIN_91,,,,,
,Unknown,PIN_180,,,,,
,Unknown,PIN_179,,,,,
,Unknown,PIN_178,,,,,
,Unknown,PIN_177,,,,,
,Unknown,PIN_174,,,,,
,Unknown,PIN_173,,,,,
,Unknown,PIN_172,,,,,
,Unknown,PIN_171,,,,,
,Unknown,PIN_169,,,,,
,Unknown,PIN_168,,,,,
,Unknown,PIN_167,,,,,
,Unknown,PIN_166,,,,,
,Unknown,PIN_164,,,,,
,Unknown,PIN_163,,,,,
,Unknown,PIN_162,,,,,
,Unknown,PIN_161,,,,,
,Unknown,PIN_159,,,,,
,Unknown,PIN_158,,,,,
,Unknown,PIN_157,,,,,
,Unknown,PIN_156,,,,,
,Unknown,PIN_154,,,,,
,Unknown,PIN_153,,,,,
,Unknown,PIN_152,,,,,
,Unknown,PIN_151,,,,,
,Unknown,PIN_149,,,,,
,Unknown,PIN_148,,,,,
,Unknown,PIN_147,,,,,
,Unknown,PIN_146,,,,,
,Unknown,PIN_144,,,,,
,Unknown,PIN_143,,,,,
,Unknown,PIN_142,,,,,
,Unknown,PIN_124,,,,,
,Unknown,PIN_123,,,,,
,Unknown,PIN_121,,,,,
,Unknown,PIN_108,,,,,
,Unknown,PIN_107,,,,,
,Unknown,PIN_106,,,,,
,Unknown,PIN_105,,,,,
,Unknown,PIN_103,,,,,
,Unknown,PIN_102,,,,,
,Unknown,PIN_101,,,,,
,Unknown,PIN_100,,,,,
,Unknown,PIN_99,,,,,
,Unknown,PIN_98,,,,,
,Unknown,PIN_97,,,,,
,Unknown,PIN_95,,,,,
,Unknown,PIN_94,,,,,
,Unknown,PIN_92,,,,,
,Unknown,PIN_90,,,,,
,Unknown,PIN_60,,,,,
,Unknown,PIN_59,,,,,
,Unknown,PIN_58,,,,,
,Unknown,PIN_44,,,,,
,Unknown,PIN_43,,,,,
,Unknown,PIN_40,,,,,
,Unknown,PIN_39,,,,,
,Unknown,PIN_38,,,,,
,Unknown,PIN_36,,,,,
,Unknown,PIN_35,,,,,
,Unknown,PIN_34,,,,,
,Unknown,PIN_33,,,,,
,Unknown,PIN_31,,,,,
,Unknown,PIN_30,,,,,
,Unknown,PIN_26,,,,,
,Unknown,PIN_25,,,,,
,Unknown,PIN_24,,,,,
,Unknown,PIN_23,,,,,
,Unknown,PIN_21,,,,,
,Unknown,PIN_20,,,,,
,Unknown,PIN_19,,,,,
,Unknown,PIN_18,,,,,
,Unknown,PIN_17,,,,,
,Unknown,PIN_15,,,,,
,Unknown,PIN_14,,,,,
,Unknown,PIN_13,,,,,
,Unknown,PIN_12,,,,,
,Unknown,PIN_11,,,,,
,Unknown,PIN_9,,,,,
,Unknown,PIN_8,,,,,
,Unknown,PIN_7,,,,,
,Unknown,PIN_6,,,,,
,Unknown,PIN_4,,,,,
,Unknown,PIN_3,,,,,
,Unknown,PIN_2,,,,,
,Unknown,PIN_1,,,,,
,Unknown,PIN_240,,,,,
,Unknown,PIN_239,,,,,
,Unknown,PIN_238,,,,,
,Unknown,PIN_237,,,,,
,Unknown,PIN_236,,,,,
,Unknown,PIN_235,,,,,
,Unknown,PIN_234,,,,,
,Unknown,PIN_233,,,,,
,Unknown,PIN_231,,,,,
,Unknown,PIN_230,,,,,
,Unknown,PIN_229,,,,,
,Unknown,PIN_228,,,,,
,Unknown,PIN_227,,,,,
,Unknown,PIN_226,,,,,
,Unknown,PIN_225,,,,,
,Unknown,PIN_223,,,,,
,Unknown,PIN_222,,,,,
,Unknown,PIN_221,,,,,
,Unknown,PIN_213,,,,,
,Unknown,PIN_212,,,,,
,Unknown,PIN_211,,,,,
,Unknown,PIN_210,,,,,
,Unknown,PIN_209,,,,,
,Unknown,PIN_145,,,,,
,Unknown,PIN_32,,,,,
,Unknown,PIN_205,,,,,
,Unknown,PIN_140,,,,,
,Unknown,PIN_42,,,,,
,Unknown,PIN_47,,,,,
,Unknown,PIN_52,,,,,
,Unknown,PIN_135,,,,,
,Unknown,PIN_57,,,,,
,Unknown,PIN_69,,,,,
,Unknown,PIN_77,,,,,
,Unknown,PIN_130,,,,,
,Unknown,PIN_85,,,,,
,Unknown,PIN_216,,,,,
,Unknown,PIN_89,,,,,
,Unknown,PIN_93,,,,,
,Unknown,PIN_96,,,,,
,Unknown,PIN_27,,,,,
,Unknown,PIN_104,,,,,
,Unknown,PIN_112,,,,,
,Unknown,PIN_224,,,,,
,Unknown,PIN_122,,,,,
,Unknown,PIN_125,,,,,
,Unknown,PIN_189,,,,,
,Unknown,PIN_176,,,,,
,Unknown,PIN_5,,,,,
,Unknown,PIN_170,,,,,
,Unknown,PIN_10,,,,,
,Unknown,PIN_232,,,,,
,Unknown,PIN_165,,,,,
,Unknown,PIN_160,,,,,
,Unknown,PIN_16,,,,,
,Unknown,PIN_197,,,,,
,Unknown,PIN_155,,,,,
,Unknown,PIN_37,,,,,
,Unknown,PIN_22,,,,,
,Unknown,PIN_150,,,,,
